Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Recommended_Major,Q16,Q17
a,d,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Applied Health Sciences,No,No
a,b,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Applied Health Sciences,No,No
a,a,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Media,No,Yes
b,d,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Science,No,No
a,a,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Applied Health Sciences,No,No
b,a,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Science,No,No
d,d,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Fine Arts,No,Yes
b,b,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Science,No,No
c,d,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,College of Applied Sciences for Space and Navigation,No,Yes
a,c,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Science,No,No
d,c,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Fine Arts,No,Yes
c,b,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Law,No,Yes
c,a,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Fine Arts,No,Yes
c,b,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Science,No,No
c,a,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Commerce,No,No
a,d,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Science,No,No
c,d,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Commerce,No,Yes
d,c,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Fine Arts,No,Yes
c,d,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Law,No,No
c,d,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Law,No,No
d,d,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Fine Arts,No,Yes
d,c,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Fine Arts,No,Yes
d,c,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Fine Arts,No,Yes
b,b,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Science,No,No
d,d,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Fine Arts,No,Yes
b,a,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Science,No,No
b,a,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Science,No,No
c,a,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Law,No,No
b,b,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Science,No,No
c,a,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Commerce,No,No
c,c,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Commerce,No,Yes
d,d,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Fine Arts,No,Yes
d,a,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Fine Arts,No,Yes
b,a,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Science,No,No
a,d,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,College of Applied Sciences for Space and Navigation,No,Yes
d,c,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Fine Arts,No,Yes
c,b,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Commerce,No,Yes
b,b,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Science,No,No
d,b,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Fine Arts,No,Yes
b,a,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Science,No,No
a,c,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Science,No,No
b,d,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Science,No,No
b,d,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Science,No,No
c,b,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Law,No,Yes
a,d,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Medicine,No,No
d,b,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Fine Arts,No,Yes
d,c,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Fine Arts,No,Yes
c,d,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Commerce,No,No
a,b,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,"Higher Institute of Administrative Sciences, Beni Suef",No,Yes
c,c,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Law,No,No
a,b,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Media,No,Yes
b,d,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Science,No,No
b,a,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Science,No,No
b,a,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Science,No,No
a,b,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,"Higher Institute of Administrative Sciences, Beni Suef",No,Yes
c,c,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Commerce,No,Yes
a,b,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Applied Health Sciences,No,No
b,d,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Science,No,No
c,a,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Law,No,No
d,d,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Fine Arts,No,Yes
b,b,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Science,No,No
b,a,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Science,No,No
d,d,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Fine Arts,No,Yes
b,a,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Science,No,No
d,b,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Fine Arts,No,Yes
c,a,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Commerce,No,No
b,b,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Science,No,No
a,a,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Applied Health Sciences,No,No
b,d,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Science,No,No
b,c,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Science,No,No
a,b,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Law,No,No
c,a,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Fine Arts,No,Yes
c,b,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Law,No,No
b,d,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Science,No,No
b,d,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Science,No,No
d,d,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Fine Arts,No,Yes
b,c,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Science,No,No
a,a,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Science,No,No
c,a,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Law,No,Yes
d,d,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Fine Arts,No,Yes
b,a,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Science,No,No
a,a,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Science,No,No
d,d,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fine Arts,No,Yes
b,b,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Science,No,No
b,c,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Science,No,No
a,a,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Computer Science,No,No
d,b,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fine Arts,No,Yes
d,c,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Fine Arts,No,Yes
d,b,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Fine Arts,No,Yes
c,d,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Science,No,No
c,d,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Law,No,No
b,a,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Science,No,No
b,c,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Science,No,No
c,d,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Commerce,No,No
a,a,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Fine Arts,No,Yes
b,a,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Science,No,No
c,a,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Commerce,No,No
d,d,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Fine Arts,No,Yes
b,d,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Science,No,No
a,d,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Applied Health Sciences,No,No
a,d,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Commerce,No,Yes
d,a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Fine Arts,No,Yes
a,c,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Science,No,No
d,d,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Fine Arts,No,Yes
c,d,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Commerce,No,Yes
c,c,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Commerce,No,No
d,c,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fine Arts,No,Yes
a,a,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Science,No,No
c,a,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Commerce,No,No
d,b,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Fine Arts,No,Yes
a,b,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Law,No,No
c,a,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Commerce,No,No
a,d,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Science,No,No
a,b,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Applied Health Sciences,No,No
d,c,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Fine Arts,No,Yes
d,b,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Fine Arts,No,Yes
d,c,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Fine Arts,No,Yes
d,d,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Fine Arts,No,Yes
c,b,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Commerce,No,Yes
b,a,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Science,No,No
d,d,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Fine Arts,No,Yes
b,c,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Science,No,No
b,a,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Science,No,No
c,b,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Fine Arts,No,Yes
a,a,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Law,No,No
d,c,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Fine Arts,No,Yes
c,a,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Commerce,No,Yes
a,a,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Fine Arts,No,Yes
b,b,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Science,No,No
d,b,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Fine Arts,No,Yes
d,b,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Fine Arts,No,Yes
b,c,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Science,No,No
c,b,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Law,No,No
b,c,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Science,No,No
d,b,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Fine Arts,No,Yes
c,a,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Nursing Technical Institute,No,No
b,b,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Science,No,No
d,c,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Fine Arts,No,Yes
c,c,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Fine Arts,No,Yes
a,d,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Fine Arts,No,Yes
c,b,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Law,No,Yes
d,c,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Fine Arts,No,Yes
c,d,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Law,No,Yes
d,d,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Fine Arts,No,Yes
c,d,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Commerce,No,No
d,c,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Fine Arts,No,Yes
b,d,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Science,No,No
d,d,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Fine Arts,No,Yes
a,a,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Fine Arts,No,Yes
d,d,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Fine Arts,No,Yes
c,c,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Commerce,No,No
a,d,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Applied Health Sciences,No,No
b,d,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Science,No,No
b,a,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Science,No,No
d,c,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Fine Arts,No,Yes
a,c,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Applied Health Sciences,No,No
d,c,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Fine Arts,No,Yes
