Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Recommended_Major
a,a,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Engineering
c,a,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Applied Sciences for Space and Navigation
a,a,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Media
d,d,No,No,No,No,Yes,No,No,No,Yes,No,Commerce
c,a,No,No,No,No,Yes,No,No,No,Yes,No,Commerce
c,c,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Commerce
c,c,No,No,No,No,No,Yes,No,No,No,No,Commerce
a,c,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Engineering
d,b,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Fine Arts
d,b,No,No,No,Yes,No,Yes,No,No,Yes,No,Law
b,b,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Computer Science
a,c,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Media
d,d,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Media
b,a,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Applied Sciences for Space and Navigation
c,d,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Media
a,c,No,No,No,No,Yes,No,No,No,No,No,Science
a,b,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Law
a,d,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Engineering
b,b,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Media
d,d,No,No,Yes,No,No,No,No,Yes,No,No,Media
b,c,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Computer Science
b,d,Yes,No,Yes,No,Yes,No,No,No,No,No,Media
a,c,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Science
c,b,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
a,a,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Media
c,a,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Law
c,d,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
a,a,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Engineering
c,a,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Commerce
b,d,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Media
c,d,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Commerce
a,a,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Engineering
a,a,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Law
a,b,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Engineering
a,b,No,No,Yes,No,Yes,No,No,Yes,No,No,Engineering
b,a,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Applied Sciences for Space and Navigation
b,a,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Computer Science
a,d,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Media
a,b,No,No,No,No,Yes,Yes,No,No,No,No,Applied Health Sciences
d,a,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Applied Sciences for Space and Navigation
d,d,No,No,Yes,No,No,No,No,Yes,No,Yes,Media
d,b,Yes,No,Yes,No,No,Yes,No,No,No,No,Media
b,a,No,No,No,Yes,No,No,Yes,No,No,No,Law
a,a,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Media
d,c,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Law
b,d,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Computer Science
b,a,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Computer Science
a,a,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Engineering
a,c,No,No,No,Yes,No,No,No,No,No,Yes,Law
c,c,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Commerce
a,a,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Engineering
a,c,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Law
c,b,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Media
c,c,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Commerce
b,c,No,No,No,No,Yes,No,No,Yes,No,Yes,Computer Science
a,c,Yes,Yes,No,No,No,No,No,No,Yes,No,Higher Institute of Administrative Sciences
d,c,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Media
c,a,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Commerce
b,b,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Science
b,a,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Computer Science
c,b,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Commerce
a,d,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Engineering
d,c,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Fine Arts
b,c,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Law
a,a,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Applied Sciences for Space and Navigation
a,d,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Engineering
b,d,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Computer Science
d,b,No,No,Yes,No,No,No,Yes,No,No,No,Media
c,b,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Law
b,a,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Computer Science
d,b,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Fine Arts
c,b,No,No,No,Yes,No,Yes,No,No,No,Yes,Law
d,d,No,No,Yes,No,No,Yes,No,No,No,Yes,Media
c,a,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Applied Sciences for Space and Navigation
d,c,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Fine Arts
d,b,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Fine Arts
b,a,No,No,No,No,No,No,No,No,Yes,Yes,Computer Science
b,b,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Computer Science
c,c,No,No,No,No,No,Yes,No,Yes,No,No,Fine Arts
c,a,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Law
b,a,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Applied Sciences for Space and Navigation
d,b,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Fine Arts
d,c,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Media
a,c,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Law
d,c,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Law
b,d,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Media
a,b,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Engineering
a,b,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Applied Health Sciences
b,c,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Computer Science
a,a,No,No,No,No,No,No,Yes,No,Yes,Yes,Media
c,d,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Commerce
b,a,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Computer Science
d,a,No,No,Yes,Yes,No,No,No,Yes,No,No,Media
b,c,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Media
d,c,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Law
b,b,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Media
d,d,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Fine Arts
a,b,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Engineering
c,b,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Commerce
c,b,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Media
b,a,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Computer Science
c,a,No,No,No,No,No,No,Yes,Yes,No,No,Commerce
c,b,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Law
a,b,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Engineering
c,a,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Commerce
c,c,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Media
c,a,No,Yes,No,No,No,No,Yes,Yes,No,No,Fine Arts
a,c,No,No,Yes,No,No,No,No,Yes,Yes,No,Engineering
a,c,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Engineering
b,a,Yes,No,No,Yes,No,Yes,No,No,No,No,Applied Sciences for Space and Navigation
d,c,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Media
a,d,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Engineering
b,c,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Computer Science
d,b,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Media
c,a,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
d,a,No,No,No,No,No,No,No,No,No,Yes,Media
b,d,No,No,No,Yes,Yes,Yes,No,No,No,No,Law
a,c,No,No,No,No,No,No,Yes,Yes,Yes,No,Engineering
a,c,No,Yes,No,Yes,Yes,No,No,No,No,No,Law
d,b,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Applied Health Sciences
a,a,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Engineering
d,a,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Media
c,d,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
c,a,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Applied Sciences for Space and Navigation
b,a,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Applied Sciences for Space and Navigation
c,a,No,No,No,No,No,No,Yes,No,No,Yes,Commerce
a,b,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Media
d,d,No,Yes,No,No,Yes,No,No,No,No,No,Fine Arts
a,a,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Engineering
c,a,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Applied Sciences for Space and Navigation
c,d,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Commerce
a,c,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Law
b,a,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Computer Science
c,d,No,No,No,No,No,No,No,Yes,Yes,No,Commerce
b,b,No,No,No,No,Yes,Yes,No,No,No,No,Applied Health Sciences
d,d,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Fine Arts
b,d,No,Yes,No,No,Yes,No,No,No,No,Yes,Computer Science
d,d,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Fine Arts
c,a,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Applied Sciences for Space and Navigation
b,d,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
d,a,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Applied Sciences for Space and Navigation
a,d,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Media
c,c,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Commerce
c,c,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Media
c,c,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Commerce
b,c,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Media
d,c,No,Yes,Yes,No,Yes,No,No,No,No,No,Fine Arts
c,d,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Commerce
b,a,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Computer Science
b,b,No,No,No,No,No,Yes,No,Yes,Yes,No,Commerce
a,b,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Law
b,a,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Computer Science
b,c,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Computer Science
a,d,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Media
c,c,No,No,No,No,No,No,No,Yes,No,No,Commerce
c,a,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Media
a,a,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Engineering
b,b,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Applied Health Sciences
a,b,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Media
d,c,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Fine Arts
d,b,No,No,No,No,No,No,No,No,Yes,Yes,Media
d,b,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Media
d,a,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Applied Sciences for Space and Navigation
c,d,No,Yes,No,No,No,No,No,No,Yes,No,Commerce
b,c,Yes,No,No,No,Yes,No,No,No,No,No,Commerce
c,c,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
a,a,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Engineering
b,d,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Computer Science
b,d,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Computer Science
b,b,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Applied Health Sciences
c,a,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Commerce
c,c,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Law
a,c,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Media
b,a,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Computer Science
d,b,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Fine Arts
b,d,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Computer Science
d,b,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Fine Arts
d,b,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Fine Arts
a,b,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Law
a,a,No,Yes,No,No,Yes,No,Yes,No,No,No,Science
d,a,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Applied Sciences for Space and Navigation
b,b,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Computer Science
a,a,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Applied Sciences for Space and Navigation
a,c,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Engineering
a,d,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Engineering
a,c,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Law
c,c,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
b,b,No,No,No,No,No,Yes,No,No,No,Yes,Computer Science
c,a,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Commerce
d,a,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Fine Arts
c,d,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Commerce
a,c,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Law
b,b,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Computer Science
b,d,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Media
b,c,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Media
a,b,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Media
a,a,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Engineering
a,c,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Law
b,d,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Computer Science
c,d,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Media
d,b,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Applied Health Sciences
d,c,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Fine Arts
d,d,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Fine Arts
c,c,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Commerce
d,a,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Fine Arts
d,a,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Fine Arts
b,c,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Computer Science
a,c,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Engineering
d,c,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Media
b,b,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Computer Science
c,b,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Commerce
d,b,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Fine Arts
a,d,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Media
a,a,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Engineering
c,b,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Commerce
b,d,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Media
c,d,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Media
d,a,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Applied Sciences for Space and Navigation
b,d,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Higher Institute of Administrative Sciences
d,c,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Media
c,a,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
d,c,Yes,No,No,No,No,Yes,No,No,No,No,Media
a,d,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Law
a,a,Yes,No,No,No,Yes,No,No,No,Yes,No,Higher Institute of Administrative Sciences
c,a,No,No,Yes,No,Yes,Yes,No,No,No,No,Applied Sciences for Space and Navigation
a,a,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Engineering
c,c,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Media
d,c,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Media
d,a,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,Yes,No,Yes,No,No,No,Yes,No,No,Law
c,a,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Applied Sciences for Space and Navigation
c,c,Yes,No,No,No,No,No,No,Yes,No,Yes,Fine Arts
a,c,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Engineering
c,d,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Commerce
a,a,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Engineering
b,a,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Media
c,d,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Media
d,d,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Fine Arts
a,b,No,No,No,No,Yes,No,No,Yes,No,No,Engineering
c,b,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Commerce
c,c,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Commerce
d,b,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Fine Arts
c,b,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Applied Health Sciences
c,a,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
b,c,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Law
c,d,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Commerce
c,d,No,Yes,No,No,No,No,Yes,No,No,Yes,Science
b,d,Yes,No,Yes,No,No,No,Yes,No,No,No,Media
a,b,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Law
c,a,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Media
c,a,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Law
d,b,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Fine Arts
d,c,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Computer Science
a,a,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Applied Sciences for Space and Navigation
c,d,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Media
d,d,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Media
d,c,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Media
d,d,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Media
a,a,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Applied Sciences for Space and Navigation
c,b,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Applied Health Sciences
d,d,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Media
c,c,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Commerce
d,a,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Fine Arts
b,c,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Computer Science
c,a,No,No,No,Yes,No,Yes,No,Yes,No,No,Applied Sciences for Space and Navigation
b,c,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Law
a,d,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Engineering
b,a,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Applied Sciences for Space and Navigation
a,b,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Engineering
b,c,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Computer Science
c,a,No,No,Yes,No,No,No,No,No,Yes,Yes,Commerce
a,c,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Engineering
a,c,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Media
