Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Recommended_Major
b,c,No,Yes,No,Yes,Yes,No,No,Yes,Commerce
a,b,No,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
a,d,Yes,Yes,No,Yes,No,No,Yes,No,Commerce
b,a,No,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
b,c,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
b,a,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Commerce
b,b,Yes,Yes,No,No,Yes,Yes,Yes,No,Commerce
a,d,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Commerce
b,b,No,Yes,Yes,No,Yes,No,Yes,No,Commerce
a,d,No,No,Yes,Yes,No,No,No,No,Commerce
a,a,No,Yes,No,Yes,No,No,No,No,Commerce
a,d,Yes,Yes,Yes,Yes,No,No,No,No,Commerce
b,b,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Commerce
b,c,No,Yes,No,No,Yes,No,No,Yes,Commerce
b,d,No,Yes,Yes,Yes,Yes,No,No,No,Commerce
b,c,No,Yes,No,Yes,No,No,Yes,No,Commerce
c,c,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
c,d,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Commerce
c,c,No,Yes,No,Yes,No,No,Yes,Yes,Commerce
c,d,No,Yes,No,Yes,Yes,No,No,No,Commerce
b,a,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Commerce
b,c,Yes,Yes,Yes,Yes,No,No,No,Yes,Commerce
b,d,Yes,Yes,No,Yes,No,Yes,No,Yes,Commerce
b,c,Yes,Yes,No,No,No,No,Yes,No,Commerce
b,c,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
a,d,Yes,Yes,No,Yes,No,Yes,No,Yes,Commerce
a,d,No,No,Yes,Yes,No,Yes,No,No,Commerce
b,a,No,Yes,Yes,No,No,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,Yes,No,No,Yes,Yes,No,Commerce
c,b,No,Yes,No,Yes,No,No,Yes,Yes,Commerce
b,a,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
a,a,No,Yes,Yes,Yes,No,No,No,Yes,Commerce
b,c,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Commerce
b,d,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Commerce
a,d,No,Yes,Yes,No,No,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Commerce
a,d,Yes,Yes,No,Yes,No,No,Yes,Yes,Commerce
b,d,No,Yes,No,Yes,No,No,Yes,Yes,Commerce
b,d,No,Yes,Yes,No,Yes,No,Yes,No,Commerce
b,b,Yes,Yes,No,Yes,No,Yes,No,Yes,Commerce
b,c,No,Yes,Yes,Yes,Yes,No,No,Yes,Commerce
b,d,Yes,Yes,No,No,No,Yes,No,No,Commerce
b,a,Yes,Yes,Yes,Yes,No,No,No,Yes,Commerce
a,d,No,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
b,d,No,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
a,d,No,Yes,Yes,No,No,No,Yes,Yes,Commerce
b,d,Yes,Yes,No,No,No,Yes,No,Yes,Commerce
a,d,Yes,Yes,Yes,Yes,No,No,No,Yes,Commerce
a,b,No,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
b,d,Yes,Yes,Yes,No,Yes,No,No,No,Commerce
a,d,No,Yes,No,No,No,No,Yes,Yes,Commerce
b,b,Yes,Yes,No,Yes,No,No,Yes,No,Commerce
a,d,Yes,Yes,Yes,Yes,No,No,Yes,No,Commerce
b,c,Yes,Yes,No,No,Yes,No,No,No,Commerce
c,d,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,Yes,No,No,No,Yes,No,Commerce
b,c,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Commerce
b,a,No,Yes,Yes,Yes,Yes,Yes,No,No,Commerce
b,c,No,Yes,No,No,No,No,Yes,No,Commerce
a,d,Yes,Yes,No,No,No,No,Yes,No,Commerce
a,d,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
a,d,No,No,No,Yes,No,No,No,No,Commerce
b,d,No,Yes,No,No,No,No,Yes,Yes,Commerce
c,d,No,Yes,No,No,Yes,No,No,Yes,Commerce
a,d,Yes,Yes,Yes,No,No,No,Yes,Yes,Commerce
b,d,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
c,d,No,Yes,No,Yes,No,No,No,Yes,Commerce
a,d,No,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
a,b,No,Yes,No,Yes,No,Yes,Yes,No,Commerce
b,c,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
b,d,No,Yes,No,Yes,Yes,No,No,No,Commerce
c,d,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
b,a,No,Yes,Yes,No,Yes,No,No,No,Commerce
b,a,No,Yes,Yes,No,No,No,Yes,Yes,Commerce
a,d,No,Yes,Yes,No,No,No,No,No,Commerce
a,d,Yes,Yes,Yes,Yes,No,Yes,No,No,Commerce
b,d,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
a,d,No,Yes,Yes,Yes,Yes,No,Yes,No,Commerce
b,b,No,Yes,Yes,Yes,No,No,Yes,No,Commerce
b,b,No,Yes,No,Yes,Yes,No,Yes,No,Commerce
b,c,Yes,Yes,No,No,No,No,Yes,Yes,Commerce
a,d,No,Yes,Yes,No,No,No,Yes,No,Commerce
b,a,No,Yes,Yes,No,No,No,No,No,Commerce
c,d,No,Yes,No,No,No,Yes,Yes,Yes,Commerce
a,d,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Commerce
c,d,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
c,b,No,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,b,Yes,Yes,Yes,Yes,No,No,No,No,Commerce
b,c,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,b,No,Yes,No,No,No,Yes,Yes,Yes,Commerce
a,c,Yes,Yes,No,Yes,No,Yes,Yes,No,Commerce
a,c,Yes,Yes,No,Yes,No,No,Yes,No,Commerce
b,c,Yes,Yes,No,Yes,Yes,Yes,No,No,Commerce
b,c,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Commerce
b,d,No,Yes,No,No,Yes,Yes,No,No,Commerce
b,a,Yes,Yes,No,Yes,No,No,Yes,Yes,Commerce
a,d,Yes,Yes,No,Yes,No,No,No,No,Commerce
b,b,No,Yes,No,No,No,No,Yes,No,Commerce
b,c,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
b,a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
b,a,No,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
b,d,Yes,Yes,Yes,No,No,No,No,Yes,Commerce
b,b,No,Yes,Yes,No,No,No,No,Yes,Commerce
c,b,No,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
b,d,No,Yes,Yes,Yes,No,No,Yes,No,Commerce
b,b,Yes,Yes,No,No,No,Yes,Yes,No,Commerce
b,c,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Commerce
a,c,No,Yes,No,Yes,No,Yes,No,No,Commerce
c,c,No,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
b,d,No,Yes,No,Yes,No,Yes,No,No,Commerce
b,d,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
b,c,No,Yes,No,Yes,Yes,Yes,No,No,Commerce
b,c,Yes,Yes,No,Yes,Yes,No,No,No,Commerce
c,b,No,Yes,Yes,Yes,No,No,Yes,No,Commerce
b,d,Yes,Yes,Yes,No,Yes,No,No,Yes,Commerce
b,c,Yes,Yes,No,Yes,No,No,Yes,No,Commerce
c,d,No,Yes,Yes,Yes,Yes,No,No,No,Commerce
c,d,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
b,d,No,Yes,No,Yes,Yes,Yes,No,Yes,Commerce
b,d,No,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
a,c,No,Yes,Yes,Yes,No,Yes,No,Yes,Commerce
a,d,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
b,c,No,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
b,b,Yes,Yes,No,No,No,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Commerce
b,c,Yes,Yes,No,No,No,No,No,No,Commerce
a,d,No,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
b,b,Yes,Yes,No,Yes,Yes,No,Yes,No,Commerce
b,d,No,Yes,Yes,No,No,No,Yes,Yes,Commerce
b,d,No,Yes,Yes,No,No,Yes,Yes,No,Commerce
c,d,No,Yes,No,No,No,No,Yes,No,Commerce
b,a,No,Yes,Yes,Yes,No,Yes,No,Yes,Commerce
b,d,Yes,Yes,Yes,No,No,Yes,No,Yes,Commerce
b,a,No,Yes,No,No,No,No,No,Yes,Commerce
b,b,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
b,a,No,Yes,Yes,Yes,No,No,No,No,Commerce
a,b,No,Yes,Yes,Yes,No,No,Yes,No,Commerce
b,c,No,Yes,Yes,No,No,Yes,Yes,No,Commerce
a,c,No,Yes,No,Yes,No,No,No,Yes,Commerce
c,d,No,Yes,No,Yes,No,No,Yes,No,Commerce
b,b,No,Yes,No,Yes,No,Yes,No,Yes,Commerce
b,a,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
b,b,No,Yes,No,No,Yes,Yes,Yes,No,Commerce
b,c,Yes,Yes,No,No,Yes,No,Yes,No,Commerce
b,d,No,Yes,Yes,Yes,No,Yes,No,Yes,Commerce
a,b,No,Yes,No,Yes,No,No,Yes,No,Commerce
b,b,No,Yes,No,No,No,No,No,Yes,Commerce
a,d,Yes,Yes,Yes,No,No,No,No,No,Commerce
b,b,Yes,Yes,No,No,Yes,No,Yes,No,Commerce
a,d,No,Yes,No,No,No,No,No,No,Commerce
c,d,No,Yes,Yes,Yes,Yes,No,Yes,No,Commerce
b,b,Yes,Yes,Yes,No,No,No,Yes,Yes,Commerce
a,d,No,Yes,Yes,Yes,No,Yes,No,No,Commerce
c,d,Yes,Yes,No,Yes,No,No,Yes,Yes,Commerce
b,b,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Commerce
b,b,Yes,Yes,No,Yes,No,Yes,Yes,No,Commerce
b,a,No,Yes,Yes,No,No,No,Yes,No,Commerce
b,c,No,Yes,Yes,Yes,No,No,No,Yes,Commerce
b,d,No,Yes,No,Yes,No,Yes,Yes,No,Commerce
c,d,No,Yes,No,Yes,Yes,Yes,No,Yes,Commerce
b,c,No,Yes,Yes,Yes,Yes,Yes,No,No,Commerce
b,b,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Commerce
b,a,No,Yes,No,Yes,Yes,Yes,No,Yes,Commerce
b,b,No,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,a,No,Yes,Yes,No,No,No,No,Yes,Commerce
a,d,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
b,a,Yes,Yes,No,No,No,No,Yes,No,Commerce
b,b,Yes,Yes,No,No,No,No,Yes,Yes,Commerce
b,d,No,Yes,Yes,No,No,Yes,No,Yes,Commerce
a,b,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
a,d,Yes,Yes,No,No,No,No,No,No,Commerce
b,b,No,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
a,d,No,No,No,Yes,No,Yes,No,No,Commerce
b,b,No,Yes,No,Yes,Yes,Yes,No,Yes,Commerce
a,a,Yes,Yes,No,Yes,No,No,Yes,No,Commerce
a,a,No,Yes,No,Yes,No,No,No,Yes,Commerce
b,a,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,b,No,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
a,c,No,Yes,No,Yes,No,Yes,Yes,No,Commerce
b,c,No,Yes,Yes,No,Yes,Yes,Yes,No,Commerce
b,d,No,Yes,Yes,No,Yes,Yes,No,Yes,Commerce
b,d,Yes,Yes,Yes,No,No,No,No,No,Commerce
b,a,No,Yes,No,No,Yes,No,Yes,No,Commerce
c,b,No,Yes,No,Yes,No,No,No,Yes,Commerce
b,a,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
b,d,No,Yes,No,Yes,Yes,No,Yes,No,Commerce
b,d,No,Yes,Yes,No,No,No,No,Yes,Commerce
b,d,Yes,Yes,No,No,Yes,Yes,No,Yes,Commerce
a,d,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Commerce
b,a,No,Yes,No,Yes,No,Yes,No,No,Commerce
b,a,Yes,Yes,No,Yes,Yes,No,Yes,No,Commerce
b,a,No,Yes,No,No,Yes,Yes,Yes,Yes,Commerce
b,b,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
b,c,No,Yes,No,No,Yes,No,Yes,No,Commerce
b,d,No,Yes,Yes,No,Yes,Yes,Yes,No,Commerce
b,b,No,Yes,Yes,No,Yes,Yes,Yes,No,Commerce
c,d,Yes,Yes,No,Yes,No,No,Yes,No,Commerce
b,b,No,Yes,Yes,No,No,No,Yes,Yes,Commerce
a,d,No,Yes,Yes,No,No,No,No,Yes,Commerce
b,a,Yes,Yes,Yes,No,No,No,Yes,Yes,Commerce
b,c,No,Yes,No,No,Yes,Yes,No,Yes,Commerce
b,d,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
b,b,No,Yes,No,Yes,No,No,Yes,Yes,Commerce
b,c,No,Yes,Yes,No,Yes,No,No,No,Commerce
a,c,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
a,d,No,Yes,Yes,Yes,No,No,No,Yes,Commerce
b,a,No,Yes,No,No,Yes,No,No,Yes,Commerce
a,d,No,Yes,Yes,No,No,Yes,No,No,Commerce
b,b,No,Yes,Yes,No,No,Yes,No,Yes,Commerce
b,c,Yes,Yes,No,Yes,No,Yes,No,Yes,Commerce
b,a,No,Yes,No,Yes,Yes,Yes,No,No,Commerce
b,a,Yes,Yes,No,Yes,No,Yes,Yes,No,Commerce
b,b,No,Yes,No,No,Yes,No,Yes,Yes,Commerce
b,c,Yes,Yes,No,Yes,Yes,No,No,Yes,Commerce
b,a,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Commerce
a,c,No,Yes,No,Yes,No,No,Yes,Yes,Commerce
c,b,No,Yes,No,Yes,Yes,No,Yes,No,Commerce
a,d,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
c,d,No,Yes,No,Yes,No,Yes,No,Yes,Commerce
b,c,No,Yes,Yes,Yes,No,No,Yes,No,Commerce
c,d,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
b,b,No,Yes,No,No,No,Yes,No,No,Commerce
b,a,Yes,Yes,No,Yes,No,No,No,Yes,Commerce
b,c,No,Yes,Yes,No,Yes,Yes,No,No,Commerce
a,b,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
b,b,Yes,Yes,Yes,No,No,Yes,Yes,No,Commerce
b,d,No,Yes,Yes,No,No,No,No,No,Commerce
c,d,Yes,No,No,Yes,Yes,No,Yes,No,Commerce
c,d,No,Yes,Yes,Yes,No,No,No,No,Commerce
b,d,No,Yes,Yes,No,Yes,No,No,No,Commerce
b,b,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Commerce
b,b,No,Yes,No,Yes,Yes,No,No,Yes,Commerce
a,d,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
b,d,No,Yes,No,Yes,No,No,No,No,Commerce
b,c,No,Yes,No,No,No,Yes,No,Yes,Commerce
b,a,No,Yes,Yes,Yes,Yes,No,Yes,No,Commerce
a,d,Yes,Yes,No,No,No,Yes,Yes,No,Commerce
b,b,Yes,Yes,No,Yes,Yes,Yes,No,No,Commerce
b,c,Yes,Yes,No,No,Yes,No,Yes,Yes,Commerce
b,c,No,Yes,No,No,No,No,Yes,Yes,Commerce
a,c,Yes,Yes,No,Yes,No,No,No,Yes,Commerce
b,c,Yes,Yes,No,Yes,No,Yes,No,No,Commerce
c,d,No,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
c,d,No,Yes,No,Yes,No,Yes,Yes,No,Commerce
b,b,No,Yes,No,No,Yes,Yes,Yes,Yes,Commerce
b,b,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Commerce
b,d,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Commerce
b,a,Yes,Yes,Yes,Yes,No,No,Yes,No,Commerce
b,a,No,Yes,No,No,No,No,No,No,Commerce
b,b,Yes,Yes,No,No,Yes,No,Yes,Yes,Commerce
b,a,No,Yes,No,Yes,Yes,No,No,No,Commerce
a,d,No,Yes,No,Yes,No,No,Yes,No,Commerce
b,c,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Commerce
b,b,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
c,d,No,Yes,No,Yes,Yes,No,No,Yes,Commerce
b,c,Yes,Yes,No,Yes,No,No,No,Yes,Commerce
a,c,No,Yes,Yes,Yes,No,No,Yes,No,Commerce
a,c,No,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
b,b,Yes,Yes,No,No,No,No,No,No,Commerce
c,c,No,Yes,No,Yes,Yes,No,Yes,No,Commerce
c,d,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Commerce
b,d,No,Yes,No,Yes,No,No,No,Yes,Commerce
c,c,No,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
b,b,No,Yes,No,No,No,No,No,No,Commerce
b,b,Yes,Yes,Yes,Yes,Yes,No,No,No,Commerce
b,b,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Commerce
b,d,No,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
b,a,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Commerce
b,b,No,Yes,Yes,Yes,No,Yes,Yes,No,Commerce
b,b,Yes,Yes,No,Yes,No,Yes,No,No,Commerce
b,d,No,Yes,No,Yes,No,No,Yes,No,Commerce
b,b,No,Yes,No,Yes,Yes,Yes,No,No,Commerce
b,a,No,Yes,Yes,Yes,Yes,No,No,Yes,Commerce
b,c,No,Yes,No,Yes,No,Yes,No,No,Commerce
b,d,Yes,Yes,Yes,Yes,No,No,Yes,No,Commerce
b,d,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Commerce
b,d,Yes,Yes,Yes,Yes,No,Yes,No,No,Commerce
b,d,Yes,Yes,No,Yes,Yes,No,No,No,Commerce
a,c,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
b,b,No,Yes,No,No,No,No,Yes,Yes,Commerce
b,d,Yes,Yes,No,No,Yes,Yes,Yes,No,Commerce
a,c,No,Yes,Yes,Yes,No,No,No,Yes,Commerce
a,d,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,c,No,Yes,Yes,No,Yes,No,No,Yes,Commerce
c,d,No,Yes,Yes,No,No,Yes,Yes,Yes,Commerce
c,d,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
c,d,Yes,No,No,Yes,No,No,Yes,No,Commerce
b,c,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,No,No,Yes,No,No,Yes,Commerce
b,b,No,Yes,Yes,No,No,Yes,Yes,Yes,Commerce
b,b,No,Yes,Yes,No,No,Yes,No,No,Commerce
c,d,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
c,d,No,Yes,No,No,Yes,Yes,Yes,Yes,Commerce
b,c,No,Yes,No,No,No,Yes,Yes,Yes,Commerce
b,d,Yes,Yes,Yes,No,Yes,Yes,No,No,Commerce
b,c,No,Yes,No,No,No,No,No,Yes,Commerce
b,c,No,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,c,No,Yes,No,Yes,No,No,No,Yes,Commerce
a,a,Yes,Yes,No,Yes,No,No,Yes,Yes,Commerce
b,a,No,Yes,No,Yes,No,No,Yes,No,Commerce
b,b,No,Yes,Yes,Yes,Yes,No,Yes,No,Commerce
a,d,Yes,Yes,Yes,No,No,No,Yes,No,Commerce
b,c,Yes,Yes,No,Yes,Yes,No,Yes,No,Commerce
c,c,No,Yes,No,Yes,No,No,Yes,No,Commerce
a,a,No,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
a,d,No,Yes,Yes,Yes,No,Yes,No,Yes,Commerce
b,d,No,Yes,No,No,Yes,Yes,No,Yes,Commerce
a,b,No,Yes,No,Yes,No,No,Yes,Yes,Commerce
b,a,No,Yes,No,Yes,No,No,No,No,Commerce
c,d,Yes,Yes,Yes,Yes,No,No,Yes,No,Commerce
a,d,No,No,No,Yes,No,Yes,Yes,No,Commerce
b,d,Yes,Yes,No,No,Yes,No,Yes,Yes,Commerce
b,a,No,Yes,No,Yes,No,Yes,Yes,No,Commerce
b,c,No,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
b,c,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Commerce
c,d,No,Yes,Yes,Yes,No,No,No,Yes,Commerce
c,d,No,Yes,No,No,Yes,No,Yes,Yes,Commerce
b,d,Yes,Yes,No,Yes,No,No,No,No,Commerce
b,d,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Commerce
b,d,Yes,Yes,No,No,Yes,Yes,No,No,Commerce
b,b,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
a,c,Yes,Yes,No,Yes,No,No,Yes,Yes,Commerce
b,d,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
b,b,No,Yes,No,Yes,No,No,No,Yes,Commerce
c,d,No,No,Yes,Yes,No,No,Yes,No,Commerce
b,d,Yes,Yes,Yes,No,No,No,Yes,Yes,Commerce
b,b,No,Yes,No,Yes,No,Yes,Yes,No,Commerce
b,c,Yes,Yes,Yes,Yes,No,No,Yes,No,Commerce
b,d,Yes,Yes,No,Yes,Yes,No,Yes,No,Commerce
c,d,No,No,No,Yes,Yes,No,Yes,No,Commerce
a,d,Yes,No,Yes,Yes,No,Yes,Yes,No,Commerce
c,d,No,Yes,Yes,Yes,Yes,No,No,Yes,Commerce
b,b,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Commerce
b,c,Yes,Yes,No,No,Yes,Yes,Yes,No,Commerce
b,d,Yes,Yes,No,No,No,No,No,Yes,Commerce
b,b,Yes,Yes,Yes,No,No,No,No,No,Commerce
c,b,No,Yes,No,Yes,No,No,Yes,No,Commerce
b,b,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Commerce
a,b,Yes,Yes,No,Yes,No,No,Yes,No,Commerce
b,c,No,Yes,Yes,Yes,Yes,No,No,No,Commerce
b,d,Yes,Yes,Yes,Yes,Yes,No,No,No,Commerce
b,b,No,Yes,Yes,Yes,Yes,No,No,Yes,Commerce
b,d,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Commerce
b,c,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Commerce
a,a,Yes,Yes,Yes,Yes,No,No,Yes,No,Commerce
a,d,Yes,No,No,Yes,No,No,Yes,No,Commerce
b,b,Yes,Yes,Yes,Yes,No,No,Yes,No,Commerce
a,d,Yes,Yes,No,No,No,No,Yes,Yes,Commerce
c,d,No,No,Yes,Yes,No,Yes,Yes,No,Commerce
b,b,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Commerce
b,a,Yes,Yes,No,Yes,Yes,No,No,Yes,Commerce
b,d,No,Yes,Yes,Yes,Yes,Yes,No,No,Commerce
b,c,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Commerce
a,c,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Commerce
b,c,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Commerce
b,b,No,Yes,No,Yes,Yes,Yes,Yes,No,Commerce
b,b,No,Yes,No,Yes,No,No,No,No,Commerce
c,a,No,Yes,No,Yes,Yes,No,Yes,Yes,Commerce
b,a,No,Yes,Yes,No,Yes,No,Yes,No,Commerce
b,b,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Commerce
b,a,No,Yes,Yes,No,Yes,No,No,Yes,Commerce
c,d,Yes,Yes,No,No,Yes,No,Yes,Yes,Commerce
b,c,No,Yes,Yes,No,No,Yes,No,No,Commerce
a,d,Yes,Yes,No,Yes,No,No,No,Yes,Commerce
